Title,Author1,Author2,Author3,Author4,Author5,Link,Summary,Cited By
ATRIBUT PRODUK PENSIL 2B STAEDTLER SERTA PENGARUHNYA TERHADAP KEPUTUSAN PEMBELIAN,,,,,,http://repository.upi.edu/id/eprint/4405,EY Nugraha - 2013 - repository.upi.edu,3
Pengaruh Model Pembelajaran Project Base Learning Melalui Pembelajaran Daring Pada Mata Pelajaran Pemrograman Web dan Perangkat Bergerak Terhadap …,EA Nurdin,EF Rahman,,,,https://ejournal.upi.edu/index.php/JGrKom/article/view/29505,"M Dafit, BN Praja, EA Nurdin, EF Rahman - Jurnal Guru Komputer, 2020 - ejournal.upi.edu",0
The K-Means Algorithm for Generating Sets of Items in Educational Assessment,LS Riza,,,,,https://ejournal.upi.edu/index.php/ijost/article/view/31523,"LS Riza, RA Rosdiyana, AR Pérez… - Indonesian Journal of … - ejournal.upi.edu",1
Deteksi Topik Fashion Pada Twitter Dengan Latent Dirichlet Allocation,Y Wibisono,BL Putro,,,,http://jatikom.cs.upi.edu/index.php/jatikom/article/view/14,"YU Al-khairi, Y Wibisono, BL Putro - JATIKOM: Jurnal Aplikasi …, 2018 - jatikom.cs.upi.edu",1
PRE-SERVICE TEACHERS'DIGITAL LITERACY: A LEAP IN TIME,W Setiawan,A Abdulkarim,E Nugraha,,,https://ejournal.upi.edu/index.php/jpmipa/article/view/13907,"W Setiawan, A Abdulkarim, E Nugraha - Jurnal Pengajaran MIPA - ejournal.upi.edu",1
THE USE OF SMART AND WEBGIS VISUALIZATION METHODS IN RECOMMENDING REGIONS THAT REQUIRE CLEAN WATER SUPPLY,,,,,,http://jestec.taylors.edu.my/Vol%2015%20issue%201%20February%202020/15_1_24.pdf,"NS FITRIASARI, M NOVITASARI… - Journal of …, 2020 - jestec.taylors.edu.my",0
Blended learning in postgraduate program,AP Wibawa,,,,,https://ieeexplore.ieee.org/abstract/document/8257164/,"CW Ilahi, DAF Rizky, AP Wibawa… - 2017 3rd International …, 2017 - ieeexplore.ieee.org",2
A Collaborative Process Scheme in Strategic Information Systems Planning,A Wahyudin,HB Santoso,,,,https://ieeexplore.ieee.org/abstract/document/8780415/,"A Wahyudin, HB Santoso… - 2018 Third International …, 2018 - ieeexplore.ieee.org",0
PENERAPAN MODEL PEMBELAJARAN MODIFIED INQUIRY UNTUK MENINGKATKAN HASIL BELAJAR SISWAPADA MATA PELAJARAN TIK,R Amalia,,,,,http://jurnal.upi.edu/penelitian-pendidikan/view/812/PENERAPAN%20MODEL%20PEMBELAJARAN%20MODIFIED%20INQUIRY%20UNTUK%20MENINGKATKAN%20HASIL%20BELAJAR%20SISWAPADA%20MATA%20PELAJARAN%20TIK,"EAN Rasim, R Amalia - penelitian-pendidikan, 2011 - jurnal.upi.edu",1
Business-information systems strategic alignment readiness maturity level: Corporate and business-technology driver perspective,A Wahyudin,HB MUNIR,,,,https://www.researchgate.net/profile/Asep-Wahyudin-2/publication/342586915_Business-Information_Systems_Strategic_Alignment_Readiness_Maturity_Level_Corporate_and_Business-Technology_Driver_Perspective/links/5efbf39c92851c52d60c92b2/Business-Information-Systems-Strategic-Alignment-Readiness-Maturity-Level-Corporate-and-Business-Technology-Driver-Perspective.pdf,"A Wahyudin, R Desmayanti, HB MUNIR… - Journal of …, 2019 - researchgate.net",0
Development of Student Attendance Reporting System Using WhatsApp Gateway with Android-Based Broadcasting Method,EA Nurdin,,,,,https://www.researchgate.net/profile/Enjang-Ali-Nurdin/publication/345481329_Development_of_Student_Attendance_Reporting_System_Using_WhatsApp_Gateway_with_Android-Based_Broadcasting_Method/links/5facf60d299bf18c5b6a0eea/Development-of-Student-Attendance-Reporting-System-Using-WhatsApp-Gateway-with-Android-Based-Broadcasting-Method.pdf,"EA Nurdin, DM Wahyudin - 2020 - researchgate.net",0
Burnout and mobbing in IT students,AP Wibawa,E Nugraha,,,,https://ieeexplore.ieee.org/abstract/document/8257161/,"JA Fauzi, AP Wibawa, E Nugraha - 2017 3rd International …, 2017 - ieeexplore.ieee.org",0
Comparing the characteristics of undergraduate program of information system in public and private universities,U Kholifah,AP Wibawa,,,,https://ieeexplore.ieee.org/abstract/document/8257160/,"U Kholifah, RH Dini, AP Wibawa… - 2017 3rd International …, 2017 - ieeexplore.ieee.org",1
The Use of Design Pattern on Informatics Engineering Students Thesis,AP Wibawa,,,,,https://www.atlantis-press.com/article/25905046.pdf,"AD Aindra, OP Suryoningtyas, AP Wibawa… - 2018 - atlantis-press.com",0
Strategi Pembelajaran Just In Time Teaching,EF Rahman,EA Nurdin,,,,http://jurnal.upi.edu/penelitian-pendidikan/view/810/Strategi%20Pembelajaran%20Just%20in%20Time%20Teaching,"EF Rahman, EA Nurdin, AF Atsarak - penelitian-pendidikan, 2011 - jurnal.upi.edu",0
PENERAPAN STRATEGI PEMBE,EA Nurdin,,,,,http://jurnal.upi.edu/find/view/811/PENERAPAN%20STRATEGI%20PEMBE,"EA Nurdin, RAO Wahyudin - find, 2011 - jurnal.upi.edu",0
Analysis Collaborative Online Judge and Learning Methods for Programming Subject,RA Sukamto,EF Rahman,,,,https://www.researchgate.net/profile/Rosa-Sukamto/publication/284165967_Analysis_Collaborative_Online_Judge_and_Learning_Methods_for_Programming_Subject/links/564d2e3208ae4988a7a42c88/Analysis-Collaborative-Online-Judge-and-Learning-Methods-for-Programming-Subject.pdf,"RA Sukamto, EF Rahman - researchgate.net",0
